1|岩男潤子、松本梨香|2019-01-02 00:00:00.000|今敏|421200|NULL|霧越未麻是流行音樂偶像團體「CHAM!」中的成員之一，但是在公司的決策下，她開始轉型為演員。但她卻感覺內心有個聲音在拒絕自己的選擇，而未麻的一些歌迷也反對這個決定。隨著越來越多電視劇的演出，未麻卻覺得自己的頭腦越來越奇怪，彷彿有「另一個自己」正在形成。這時，她身邊的工作人員竟一個個接連被殺。在面對社會壓力和疑雲之際，未麻感到越來越混亂……|0.4|90|藍色恐懼|https://www.youtube.com/watch?v=kkP4h-gUWfo|0|2|0
2|小山茉美 飯塚昭三 折笠富美子|2019-01-03 00:00:00.000|今敏|518400|NULL|立花源也導演為了替女演員藤原千代子拍攝紀錄片，於是造訪她的住所。藤原千代子曾是相當知名的女演員，後來卻在事業的巔峰時選擇引退，這讓立花源也感到困惑。於是立花源也藉由與藤原千代子的對談中慢慢進入了她的內心世界。|0.6|87|千年女優|https://www.youtube.com/watch?v=l6j4I6hHM-I|0|0|0
3|李奧納多·狄卡皮歐 渡邊謙 喬瑟夫·高登-拉維特 瑪莉詠·柯蒂亞 艾倫·佩姬 湯姆·哈迪 席尼·墨菲 湯姆·貝林傑 米高·肯恩|2019-01-04 00:00:00.000|克里斯多福·諾蘭|453600|NULL|唐姆·柯柏（Dominick Dom Cobb；李奧納多·狄卡皮歐飾）是一名「盜夢者」（extractor），與搭檔亞瑟（Arthur）利用潛意識進入別人夢境竊取商業機密。於一次任務中，柯柏與亞瑟入侵日本國際企業老闆齊藤（Saito）的夢境意識，但柯柏的已故妻子茉兒（Mal）於夢中出現使任務失敗。齊藤事後透露自己是有意讓他們潛入以考驗二人技術，並安排了一個任務予他們：齊藤的商業對手莫瑞斯·費雪（Maurice Fischer）病篤，因此欲透過意念植入（inception）使莫瑞斯兒子兼繼承人羅勃·費雪（Robert Fischer）瓦解其家族企業，並保證任務成功後可撤銷柯柏背負的謀殺罪名讓他返回美國與子女團聚。柯柏接受了任務後著手組織了任務團隊，找來在大學修讀建築學的亞麗雅德（Ariadne）成為建造夢境的「造夢者」、能在夢境中易容的「僞裝者」伊姆斯（Eames）、配製鎮定劑讓多層夢境穩定的「藥劑師」尤瑟夫（Yusuf）以及亞瑟。齊藤為核實夢境成果亦加入團隊。|0.6|148|全面啟動|https://www.youtube.com/watch?v=YoHD9XEInc0|0|1|0
4|蓋·皮爾斯 凱莉-安·摩絲 喬·潘托里亞諾|2019-01-05 00:00:00.000|克里斯多福·諾蘭|473040|NULL|李奧納多·薛爾比，一名保險公司理賠部的傑出稽查員，常常能揪出詐保案件，與嬌妻過著平淡而幸福的生活，在普通的一個夜晚，他發現嬌妻被兩名歹徒姦殺，雖然其中一名歹徒當場死於薛爾比槍下，但另一名歹徒痛毆薛爾比頭部後逃逸無蹤，導致薛爾比發生了順進性失憶症，警方給的破案報告中，也有十二頁被不明人士撕毀，薛爾比只掌握了兇手名為「John G」，他因為記憶力減弱，腦海中每次只能留下數分鐘的回憶，為了要報殺妻之仇，殺死逍遙法外的「John G」，薛爾比扮演起了偵探，用拍立得照片、字條與刺青，時時刻刻記下「John G」的線索，過程中薛爾比也遇到了兩位幫忙緝凶的好朋友，分別是女酒保娜塔麗與便衣刑警泰迪，但此時薛爾比卻有一種直覺，好友似乎也與他愛妻的命案有關......|0.6|113|記憶拼圖|https://www.youtube.com/watch?v=HDWylEQSwFo|4|1|0
5|布萊德·彼特 愛德華·諾頓|2019-01-06 00:00:00.000|大衛·芬奇|388800|NULL|主角（愛德華·諾頓飾）（書中及電影中均沒有提到過主角的名字，IMDb上稱主角為旁白，部分影迷稱其為傑克）為某汽車公司的調查員，因為日復一日無聊的生活使其希望找到各種舒解壓力的出口。郵購各式各樣的高級家具仍無法滿足其日漸枯竭的心靈而導致失眠。於是他找上了自助團體，在那邊他遇見比他過得更悲慘的人們（癌症患者、心理疾病患者等。）藉此催眠自己仍然是過得幸福快樂的；直到瑪拉這個冒牌貨闖進了生命，原本可以讓人放鬆的去處又變成焦慮的來源。|0.4|139|鬥陣俱樂部|https://www.youtube.com/watch?v=qtRKdVHc-cE|1|0|0
6|傑西·艾森柏格 安德魯·加菲爾德|2019-01-07 00:00:00.000|大衛·芬奇|486000|NULL|2003年10月，19歲的哈佛大學學生馬克·祖克柏在酒吧與女朋友艾莉卡·歐布萊特（Erica Albright）分手後，返到宿舍於LiveJournal的部落格寫了一個關於歐布萊特的侮辱性條目，接著駭進大學資料庫以盜取女學生的相片，然後與朋友愛德華多·薩維林建立一個稱為FaceMash的校園網站，容許瀏覽者評價她們的吸引力。這導致大學的伺服器癱瘓，卻讓祖克柏在校內一夜成名，獲得6個月的學術試用期。然而，FaceMash網站的受歡迎程度吸引了不少人的關注，包括高年級學生的孿生兄弟卡麥隆·溫克沃斯與泰勒·溫克沃斯，以及他們的商業夥伴迪夫亞·納倫德拉。三人邀請馬克·祖克柏到一個以哈佛大學學生旨在約會的專屬社群網路——哈佛聯誼網（Harvard Connection）中工作.....|0.6|121|社群網戰|https://www.youtube.com/watch?v=lB95KLmpLR4|1|0|0
7|布萊恩·考克斯 馬修·古迪 史嘉蕾·喬韓森|2019-01-08 00:00:00.000|伍迪·艾倫|388800|NULL|克里斯（強納森·萊斯·梅爾飾）放棄當職業網球手，改行教打球，因此認識了富家公子湯何韋（馬修·古迪飾）。湯的妹妹克蘿伊（艾蜜莉·摩提默飾）對克里斯甚有好感，而克里斯為了前途，亦趁機對克蘿伊展開攻勢。某天，克里斯應邀到何韋家的派對，被失意的演員諾拉（史嘉蕾·喬韓森飾）深深吸引，可惜諾拉竟是湯的女朋友。不久後，諾拉和湯分手後離開了英國......|0.6|124|愛情決勝點|https://www.youtube.com/watch?v=wISRAOb6xm0|1|0|0
8|李奧納多·狄卡皮歐 馬克·盧法洛|2019-01-09 00:00:00.000|馬丁·史柯西斯|453600|NULL|1954年，兩名美國法警局的法警：愛德華「泰迪」丹尼爾（Edward Teddy Daniels，李奧納多·狄卡皮歐飾）和他的新搭檔查克·奧爾（Chuck Aule，馬克·盧法洛飾），由於一宗病患失蹤案而前往波士頓灣外的「隔離島」，失蹤的病患是在1952年淹死了自己三個孩子的瑞秋·索蘭度（Rachel Solando，艾蜜莉·摩提默飾），她在犯案後即因為精神障礙被關入Ashecliffe療養院。他們抵達現場後，發覺似乎所有職員包括院長都相當不願意配合調查，而他們手上僅有的一條線索是瑞秋·索蘭度藏在病房裡的紙條，寫著「四的法則；第 67 號是誰？（The law of 4; who is 67?）」。丹尼爾在質問員工無果後，決定轉向探聽院長約翰·考利（Dr. John Cawley，班·金斯利飾）的說法，但卻反遭另一名醫師耶利米·奈寧（Jeremiah Naering，麥斯·馮·西度飾）的刺探，丹尼爾因此佯怒，表示全院都不願意配合，他和查克無法辦案，所以不如離開島嶼。|0.6|138|隔離島|https://www.youtube.com/watch?v=v8yrZSkKxTA|4|2|0
﻿9|柳承龍、李荷妮|2019-01-10 00:00:00.000|李炳憲|453600|NULL|由5位掉漆警探組成的緝毒小組，因辦事不力屢屢出包而被長官釘得滿頭包，落到成天埋伏在毒販巢穴對面的炸雞店中監控，案情也毫無進展。既然每天都要待在炸雞店裡，不如親自動手來賣炸雞，這個看似無厘頭的決定，竟讓這群魯蛇警探在誤打誤撞下意外尋獲事業第二春，業績賣到嚇嚇叫的神級美味炸雞，因此讓這間餐廳在一夕爆紅，成為網紅名店，訂單電話接到手軟！這幫副業做太大的警探還有辦法達成使命嗎？對面的毒販是否會聞香而來呢？|0.6|111|雞不可失|https://www.youtube.com/watch?v=myP0ZHhTcNY|2|0|2
10|班·史提勒、克莉絲汀·薇格、莎莉·麥克琳|2019-01-11|班·史提勒|570240|NULL|華特·米堤（Walter Mitty）是一位《生活雜誌》的員工，但常常有各式各樣的白日夢。知名攝影師尚恩·歐康諾（Sean O'Connell）有一天送了一捲特別的底片作品，並特別說明希望有一張相片能夠成為「生活雜誌」最後一期的封面。華特在底片影像部門工作，而過去十六年來從未弄丟過一張相片，然而這次卻找不到這張所謂的25號底片，因此從未真正出去冒險過的華特，決定出門尋找尚恩，找回失蹤的25號底片。他一開始先前往位於格陵蘭的奴克，在當地一間酒吧詢問一位郵差，得知尚恩在一條漁船上，於是他便跟著剛好要送無線電零件給條那船的郵差一同前往。因為他們搭乘著直升機，所以華特必須跳機才能抵達，但因一時疏忽而跳到了海上，奮力抵抗鯊魚後被救了起來，接下來就是他精彩又刺激的冒險。|0.4|114|白日夢冒險王|https://www.youtube.com/watch?v=HddkucqSzSM|2|0|2
