1|2020-01-21 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-14 00:00:00.000|1|0
2|2020-01-28 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-21 00:00:00.000|1|1
3|2020-01-22 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-15 00:00:00.000|2|0
4|2020-01-29 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-22 00:00:00.000|2|1
5|2020-01-23 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-16 00:00:00.000|3|0
6|2020-01-30 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-23 00:00:00.000|3|1
7|2020-01-24 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-17 00:00:00.000|4|0
8|2020-01-31 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-24 00:00:00.000|4|1
9|2020-01-25 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-18 00:00:00.000|5|0
10|2020-02-01 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-25 00:00:00.000|5|1
11|2020-01-26 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-19 00:00:00.000|6|0
12|2020-02-02 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-26 00:00:00.000|6|1
13|2020-01-27 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-20 00:00:00.000|7|0
14|2020-02-03 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-27 00:00:00.000|7|1
15|2020-01-28 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-21 00:00:00.000|8|0
16|2020-02-04 00:00:00.000|7|2999-01-01 00:00:00.000|0|2020-01-28 00:00:00.000|8|1
