2|1|290|1|2
1|1|290|1|1
3|1|290|1|226
3|6|54|0.9|57
3|9|200|0.9|41
3|13|195|1|17
3|14|175|1|17
4|1|290|1|222
4|6|54|0.9|36
4|9|200|0.9|45
4|13|195|1|18
4|14|175|1|18
5|1|290|1|205
5|6|54|0.9|52
5|9|200|0.9|51
5|13|195|1|17
5|14|175|1|17
6|1|290|1|207
6|6|54|0.9|59
6|9|200|0.9|51
6|13|195|1|12
6|14|175|1|12
7|1|290|1|227
7|6|54|0.9|48
7|9|200|0.9|47
7|13|195|1|11
7|14|175|1|11
8|1|290|1|228
8|6|54|0.9|57
8|9|200|0.9|50
8|13|195|1|11
8|14|175|1|11
9|1|290|1|206
9|6|54|0.9|45
9|9|200|0.9|52
9|13|195|1|15
9|14|175|1|15
10|1|290|1|223
10|6|54|0.9|37
10|9|200|0.9|43
10|13|195|1|15
10|14|175|1|15
11|1|290|1|193
11|6|54|0.9|43
11|8|100|0.9|47
11|13|195|1|15
11|14|175|1|15
12|1|290|1|204
12|6|54|0.9|39
12|8|100|0.9|41
12|13|195|1|15
12|14|175|1|15
13|1|290|1|212
13|6|54|0.9|38
13|8|100|0.9|49
13|13|195|1|10
13|14|175|1|10
14|1|290|1|196
14|6|54|0.9|41
14|8|100|0.9|33
14|13|195|1|13
14|14|175|1|13
15|1|290|1|200
15|6|54|0.9|22
15|8|100|0.9|36
15|13|195|1|18
15|14|175|1|18
16|1|290|1|204
16|6|54|0.9|36
16|8|100|0.9|25
16|13|195|1|15
16|14|175|1|15
17|1|290|1|202
17|6|54|0.9|40
17|8|100|0.9|32
17|13|195|1|18
17|14|175|1|18
18|1|290|1|208
18|6|54|0.9|26
18|8|100|0.9|50
18|13|195|1|16
18|14|175|1|16
19|1|290|1|208
19|6|54|0.9|35
19|8|100|0.9|47
19|13|195|1|17
19|14|175|1|17
20|1|290|1|140
20|5|60|0.9|26
20|11|130|0.9|41
20|13|195|1|41
20|14|175|1|41
21|1|290|1|127
21|5|60|0.9|33
21|11|130|0.9|48
21|13|195|1|45
21|14|175|1|45
22|1|290|1|126
22|5|60|0.9|38
22|11|130|0.9|35
22|13|195|1|46
22|14|175|1|46
23|1|290|1|144
23|5|60|0.9|32
23|11|130|0.9|44
23|13|195|1|34
23|14|175|1|34
24|1|290|1|141
24|5|60|0.9|24
24|11|130|0.9|25
24|13|195|1|47
24|14|175|1|47
25|1|290|1|129
25|5|60|0.9|23
25|11|130|0.9|35
25|13|195|1|49
25|14|175|1|49
26|1|290|1|142
26|5|60|0.9|36
26|11|130|0.9|33
26|13|195|1|45
26|14|175|1|45
27|1|290|1|135
27|5|60|0.9|18
27|11|130|0.9|34
27|13|195|1|30
27|14|175|1|30
28|1|290|1|144
28|5|60|0.9|38
28|11|130|0.9|34
28|13|195|1|44
28|14|175|1|44
29|1|290|1|143
29|5|60|0.9|36
29|11|130|0.9|32
29|13|195|1|30
29|14|175|1|30
30|1|290|1|145
30|5|60|0.9|30
30|11|130|0.9|43
30|13|195|1|40
30|14|175|1|40
31|1|290|1|132
31|5|60|0.9|37
31|11|130|0.9|22
31|13|195|1|42
31|14|175|1|42
32|1|290|1|127
32|5|60|0.9|36
32|11|130|0.9|33
32|13|195|1|38
32|14|175|1|38
33|1|290|1|146
33|5|60|0.9|20
33|11|130|0.9|37
33|13|195|1|43
33|14|175|1|43
34|1|290|1|128
34|5|60|0.9|43
34|11|130|0.9|33
34|13|195|1|36
34|14|175|1|36
35|1|290|1|129
35|5|60|0.9|21
35|11|130|0.9|23
35|13|195|1|29
35|14|175|1|29
36|1|290|1|128
36|5|60|0.9|41
36|10|140|0.9|33
36|15|350|1|15
36|16|330|1|15
37|1|290|1|129
37|5|60|0.9|31
37|10|140|0.9|45
37|15|350|1|15
37|16|330|1|15
38|1|290|1|125
38|5|60|0.9|45
38|10|140|0.9|25
38|15|350|1|15
38|16|330|1|15
39|1|290|1|130
39|5|60|0.9|33
39|10|140|0.9|35
39|15|350|1|15
39|16|330|1|15
40|1|290|1|130
40|5|60|0.9|46
40|10|140|0.9|41
40|15|350|1|15
40|16|330|1|15
41|1|290|1|136
41|5|60|0.9|31
41|10|140|0.9|48
41|15|350|1|15
41|16|330|1|15
42|1|290|1|132
42|5|60|0.9|30
42|10|140|0.9|46
42|15|350|1|15
42|16|330|1|15
43|1|290|1|121
43|5|60|0.9|48
43|10|140|0.9|46
43|15|350|1|15
43|16|330|1|15
44|1|290|1|78
44|4|70|0.9|12
44|7|120|0.9|17
45|1|290|1|84
45|4|70|0.9|17
