1|1|1
0|1|2
1|1|3
1|1|4
1|1|5
1|2|1
1|2|2
1|2|3
1|2|4
1|2|5
0|3|1
1|3|2
1|3|4
1|3|5
1|4|1
1|4|2
1|4|4
0|4|5
0|5|1
0|5|2
1|5|3
1|5|4
1|5|5
1|6|1
0|6|2
1|6|3
1|6|4
1|6|5
1|7|2
1|7|3
1|8|3
1|8|4
0|8|5
1|7|1
0|8|1
1|9|1
0|9|2
1|9|3
1|9|4
1|9|5
1|10|1
1|10|2
1|10|3
1|10|4
1|10|5
0|11|1
1|11|2
1|11|5
1|12|1
1|12|2
1|12|4
0|12|5
0|13|1
1|13|2
1|13|3
1|13|4
1|14|5
1|15|1
1|15|5
1|16|1
0|16|2
1|16|3
1|17|1
0|17|2
1|17|3
1|17|4
1|17|5
1|18|1
1|18|2
1|18|3
1|18|4
1|18|5
1|19|1
1|19|2
0|19|5
1|20|1
1|20|2
1|20|4
0|20|5
0|21|1
0|21|2
1|21|3
1|21|4
1|21|5
1|22|1
0|22|2
1|22|3
1|22|4
1|22|5
1|23|2
1|23|3
1|24|3
1|24|4
1|24|5
1|25|1
0|25|2
1|25|3
1|25|4
1|25|5
1|26|1
1|26|2
1|26|3
1|26|4
1|26|5
0|27|1
1|27|2
1|28|5
1|29|1
1|29|2
1|29|4
0|29|5
0|30|1
0|30|2
1|30|3
1|30|4
1|30|5
1|31|1
0|31|2
1|31|3
1|32|4
1|32|5
1|33|2
1|33|3
1|34|3
1|34|4
1|34|5
1|35|1
0|35|2
1|35|3
1|35|4
1|35|5
1|36|1
1|36|2
1|37|3
0|37|4
1|37|5
1|38|1
0|38|2
1|38|5
1|39|1
1|39|2
1|39|4
0|39|5
1|40|1
0|40|2
1|40|3
1|41|4
1|41|5
1|42|1
0|42|2
1|42|3
1|43|4
0|43|5
1|44|2
1|44|3
1|45|3
1|45|4
1|45|5
1|46|4
1|46|5
1|47|2
1|47|3
1|48|3
0|48|4
1|48|5
1|49|2
1|49|3
1|50|3
1|50|4
1|50|5
1|51|1
0|51|3
1|51|5
1|52|1
1|52|3
0|52|4
1|52|5
1|53|3
1|53|4
1|53|5
1|54|1
0|54|3
1|54|5
1|55|1
1|55|3
0|55|4
1|55|5
1|56|3
1|56|4
1|56|5
1|57|1
0|57|3
1|57|5
1|58|1
1|58|3
0|58|4
1|58|5
1|59|3
1|59|4
1|59|5
1|60|1
0|60|3
1|60|5
1|61|1
1|61|3
0|61|4
1|61|5
1|62|3
1|62|4
1|62|5
1|63|1
0|63|3
1|63|5
1|64|1
1|64|3
0|64|4
1|64|5
